Date of Race,Time,Track,Horse,Distance,Place,Industry SP,Betfair SP,Predicted_Win_Probability
2025-07-12,17:40:00,SALISBURY,Little Miss Magic,6f, ,3.0,,0.39377522
2025-07-12,17:40:00,SALISBURY,Thank The Lord,6f, ,4.5,,0.37224504
2025-07-12,17:40:00,SALISBURY,My Boy Jack,6f, ,5.0,,0.33341214
2025-07-12,17:40:00,SALISBURY,Silent Flame,6f, ,4.0,,0.29469243
2025-07-12,17:40:00,SALISBURY,The Cola Kid,6f, ,9.0,,0.13323487
2025-07-12,18:15:00,SALISBURY,A Bit Of Spirit,7f, ,1.5,,0.2716163
2025-07-12,18:15:00,SALISBURY,Shahik,7f, ,5.5,,0.49273822
2025-07-12,18:15:00,SALISBURY,Wield,7f, ,5.5,,0.5212731
2025-07-12,18:15:00,SALISBURY,McMurray,7f, ,23.0,,0.014494973
2025-07-12,18:15:00,SALISBURY,Shams,7f, ,81.0,,0.0014718756
2025-07-12,18:45:00,SALISBURY,Swiss Lightning,7f, ,3.0,,0.7001304
2025-07-12,18:45:00,SALISBURY,Silent Storm,7f, ,3.5,,0.65283275
2025-07-12,18:45:00,SALISBURY,Palio Di Siena,7f, ,4.0,,0.5178737
2025-07-12,18:45:00,SALISBURY,Aspull,7f, ,5.5,,0.48470494
2025-07-12,18:45:00,SALISBURY,Dreamcrafter,7f, ,51.0,,0.0044492455
2025-07-12,18:45:00,SALISBURY,Signore Enzo,7f, ,51.0,,0.0017826281
2025-07-12,18:45:00,SALISBURY,Valentine Boy,7f, ,51.0,,0.001721105
2025-07-12,18:45:00,SALISBURY,Saint Terry,7f, ,101.0,,0.0006594248
2025-07-12,19:20:00,SALISBURY,Soul Dance,1m2f, ,2.5,,0.78302586
2025-07-12,19:20:00,SALISBURY,North Star,1m2f, ,5.0,,0.5739462
2025-07-12,19:20:00,SALISBURY,Patsy Snugfit,1m2f, ,2.5,,0.39212662
2025-07-12,19:20:00,SALISBURY,Queen Of Thieves,1m2f, ,5.0,,0.4759899
2025-07-12,19:50:00,SALISBURY,Loving Look,1m4f, ,2.5,,0.37376451
2025-07-12,19:50:00,SALISBURY,Lexington Knight,1m4f, ,5.0,,0.11947106
2025-07-12,19:50:00,SALISBURY,Crystal Mariner,1m4f, ,6.0,,0.5052333
2025-07-12,19:50:00,SALISBURY,Papagei,1m4f, ,5.5,,0.13286954
2025-07-12,19:50:00,SALISBURY,Taritino,1m4f, ,7.5,,0.12742184
2025-07-12,20:20:00,SALISBURY,Grand Harbour,1m4f, ,2.2,,0.7104555
2025-07-12,20:20:00,SALISBURY,Shabu Shabu,1m4f, ,3.0,,0.63049984
2025-07-12,20:20:00,SALISBURY,Emily Rebecca,1m4f, ,4.3,,0.5528477
2025-07-12,20:20:00,SALISBURY,Godstone,1m4f, ,21.0,,0.04440528
2025-07-12,20:20:00,SALISBURY,Naturally,1m4f, ,34.0,,0.04291405
